dictionaryNameHeader	dictionaryRegexHeader	routeCategory
oral	[oO]ral [aA]dministration(\p)?|[oO]rally(\p)?|[pP]er [oO]s(\p)?|[(]?PO[)]?	enteral
rectal	[rR]ectal [aA]dministration(\p)?|[rR]ectally(\p)?|[sS]uppositor[y|ies](\p)?	enteral
sublingual	[sS]ublingual(\p)?|[uU]nder [tT]he [tT]ounge(\p)?	enteral
sublabial	[sS]ublabial(\p)?|[bB]uccal(\p)?	enteral
local	[tT]opical( [aA]dministration)?|[lL]ocal( [aA]dministration)?(\p)?	local
inhalation	[iI]nhalation(\p)?|[iI]nhaled(\p)?	other
parenteral	[pP]arenteral(ly)? [aA]dminist[ered|ration](\p)?	parenteral
epidural	[eE]pidura(\p)?l|[pP]eridural(\p)?	parenteral
intracerebral	[iI]ntra[-]?[cC]erebral(\p)?	parenteral
intracerebroventricular	([iI]ntra[-]?)[cC]erebro[-]?[vV]entricular(\p)?	parenteral
epicutaneous	[eE]picutaneous(\p)?|([oO]nto|[aA]pplied [tT]o) [tT]he [sS]kin(\p)?	parenteral
nasal	[iI]ntra[-]?[nN]asal(\p)?|[nN]asal(ly)? [aA]dminist[ered|ration](\p)?	parenteral
intra-aterial	[iI]ntra[-]?[aA]terial(\p)?	parenteral
intracartidiac	[iI]ntra[-]?[cC]ardia[c|l](\p)?	parenteral
intracavernous	[iI]ntra[-]?[cC]averno[us|sal](\p)?	parenteral
intradermal	[iI]ntra[-]?dermal(\p)?|[iI]n(to|\b)? [tT]he [dD]ermis(\p)?	parenteral
intralesional	[iI]ntra[-]?[lL]esion(al)?(\p)?	parenteral
intramuscular (IM)	[iI]ntra[-]?muscular(\p)?|[(]?IM[)]?(\p)?	parenteral
intraocular	[iI]ntra[-]?[oO]cular(\p)?	parenteral
intravitreal	[iI]ntra[-]?[vV]itreal(\p)?	parenteral
intraosseous infusion 	[iI]ntra[-]?[oO]sseous( [iI]nfusion)?(\p)?	parenteral
intraperitoneal	[iI]ntra[-]?[pP]eritoneal(ly)?(\p)?|[iI]n(to|\b)? [tT]he [pP]eritoneum(\p)?|[(]?IP[)]?	parenteral
intrathecal	[iI]ntra[-]?[tT]hecal(\p)?|[sS]pinal [cC]anal(\p)?|[sS]pinal [iI]njection(\p)?|[iI]n(to|\b)? [tT]he [sS]pine(\p)?	parenteral
intrauterine	[iI]ntra[-]?[uU]terine( device)?(\p)?	parenteral
intravaginal	[iI]ntra[-]?[vV]aginal(ly)?(\p)?|[vV]aginal(ly)? [aA]dminist[ered|ration](\p)?	parenteral
intravesical	[iI]ntra[-]?[vV]esical(\p)?|[iI]n(to|\b)? [tT]he( [uU]rinary)? [bB]ladder(\p)?	parenteral
intravenous	[iI]ntravenous(\p)?|[(]?IV[)]?|IV [tT]herapy(\p)?	parenteral
transdermal	[tT]rans[-]?[dD]erm[al|ic](\p)?	other
subcutaneous (SC)	[sS]ubcutaneous(\p)?|[(]?SC[)]?(\p)?	parenteral
transmucosal	[tT]rans[-]?[mM]ucosal(\p)?|[iI]nsufflation(\p)?	other
